City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Belen,TR,36.4891,36.2233,51.94,55,0,2.3,clear sky
80,Sept-Iles,CA,50.2001,-66.3821,28.06,91,100,8.05,overcast clouds
81,Husavik,IS,66.0449,-17.3389,41.43,95,87,9.15,overcast clouds
82,Villazon,BO,-22.0866,-65.5942,69.35,2,0,31.36,clear sky
83,Constitucion,CL,-35.3333,-72.4167,62.11,64,75,7.78,broken clouds
84,Pevek,RU,69.7008,170.3133,-16.42,96,41,5.32,scattered clouds
85,Kodiak,US,57.79,-152.4072,35.11,93,100,20.71,moderate rain
86,Nassau,US,40.7507,-73.5829,53.98,65,100,12.66,overcast clouds
87,Ajaccio,FR,42.0,8.9167,50.05,67,0,6.91,clear sky
88,Buta,CD,2.7858,24.73,72.68,77,100,2.66,overcast clouds
89,Provideniya,RU,64.3833,-173.3,12.56,64,2,5.1,clear sky
90,Aktash,RU,50.3,87.7333,9.84,83,100,5.57,overcast clouds
91,Bafq,IR,31.6128,55.4107,59.34,51,15,4.05,few clouds
92,Ende,ID,-8.8432,121.6623,79.09,86,100,1.39,overcast clouds
93,Berlevag,NO,70.8578,29.0864,35.6,80,20,12.66,few clouds
94,East London,ZA,-33.0153,27.9116,63.54,72,0,10.36,clear sky
95,Oxapampa,PE,-10.5775,-75.4017,71.44,75,99,4.68,overcast clouds
96,Coruripe,BR,-10.1256,-36.1756,81.54,70,34,11.21,scattered clouds
97,Mega,ET,4.05,38.3,62.78,72,46,8.39,scattered clouds
98,Narsaq,GL,60.9167,-46.05,44.82,66,99,18.01,overcast clouds
99,Lipin Bor,RU,60.2622,37.9763,31.77,75,100,16.6,overcast clouds
100,Saint Anthony,US,45.0205,-93.218,29.25,57,100,4.61,overcast clouds
101,Cartagena,CO,10.3997,-75.5144,80.22,89,75,4.61,broken clouds
102,Sampit,ID,-2.5333,112.95,75.47,98,100,2.75,moderate rain
103,Dingle,PH,10.9995,122.6711,76.3,94,93,7.09,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,64.8,63,40,17.27,scattered clouds
105,Kirakira,SB,-10.4544,161.9205,78.69,83,71,2.53,broken clouds
106,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,20,8.05,few clouds
107,Lompoc,US,34.6391,-120.4579,62.78,56,0,16.11,clear sky
108,Mar Del Plata,AR,-38.0023,-57.5575,68.95,91,75,11.5,broken clouds
109,Dawson Creek,CA,55.7666,-120.2362,37.04,65,0,24.16,clear sky
110,Morant Bay,JM,17.8815,-76.4093,89.22,76,53,4.79,broken clouds
111,Padang,ID,-0.9492,100.3543,75.25,92,100,2.51,moderate rain
112,Noumea,NC,-22.2763,166.4572,75.99,99,86,8.79,overcast clouds
113,Kulhudhuffushi,MV,6.6221,73.07,81.79,72,63,9.84,broken clouds
114,Cap Malheureux,MU,-19.9842,57.6142,72.46,69,56,1.01,broken clouds
115,Jacareacanga,BR,-6.2222,-57.7528,100.99,28,92,3.44,overcast clouds
116,Fare,PF,-16.7,-151.0167,74.43,78,100,3.53,light rain
117,Guymon,US,36.6828,-101.4816,53.6,32,0,24.16,clear sky
118,Praxedis Guerrero,MX,31.3667,-106.0167,54.86,29,81,8.21,broken clouds
119,Vale Da Amoreira,PT,39.0697,-7.6985,59.88,76,88,4.74,overcast clouds
120,Lavrentiya,RU,65.5833,-171.0,14.14,75,3,5.55,clear sky
121,Ponta Do Sol,PT,32.6667,-17.1,73.71,84,54,3.89,broken clouds
122,Pampierstad,ZA,-27.7832,24.6877,72.9,19,20,12.28,few clouds
123,Ludvika,SE,60.1496,15.1878,30.0,84,100,2.93,overcast clouds
124,Deputatskiy,RU,69.3,139.9,-24.86,100,99,3.2,overcast clouds
125,Kushiro,JP,42.975,144.3747,39.99,72,73,27.78,broken clouds
126,Barrow,US,71.2906,-156.7887,21.22,68,100,14.97,overcast clouds
127,Raudeberg,NO,61.9875,5.1352,52.86,39,88,9.46,overcast clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,76.96,81,77,5.99,broken clouds
129,Ishigaki,JP,24.3448,124.1572,75.33,88,100,18.41,overcast clouds
130,Nhamunda,BR,-2.1861,-56.7131,101.1,29,94,4.38,overcast clouds
131,Naze,JP,28.3667,129.4833,68.92,81,69,12.01,broken clouds
132,San Quintin,MX,30.4833,-115.95,62.65,59,15,15.9,few clouds
133,Novaya Igirma,RU,57.1334,103.9112,28.11,97,100,6.35,light snow
134,Goianesia,BR,-15.3175,-49.1175,84.2,49,55,4.72,broken clouds
135,Kvitok,RU,56.0724,98.4813,33.89,83,100,9.48,overcast clouds
136,Kutum,SD,14.2,24.6667,70.86,22,3,13.4,clear sky
137,Yilan,TW,24.757,121.753,75.56,94,99,7.7,overcast clouds
138,Marawi,PH,7.9986,124.2928,68.34,94,77,1.39,broken clouds
139,Cariati,IT,39.4922,16.9594,61.18,88,100,3.29,overcast clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,100,9.22,mist
141,Kavieng,PG,-2.5744,150.7967,82.89,74,100,15.93,overcast clouds
142,Beringovskiy,RU,63.05,179.3167,11.55,93,100,4.05,overcast clouds
143,Huarmey,PE,-10.0681,-78.1522,69.39,71,78,9.6,broken clouds
144,Obanazawa,JP,38.6033,140.4019,47.37,81,99,9.89,overcast clouds
145,Adrar,MR,20.5022,-10.0711,80.51,11,18,6.96,few clouds
146,Malinyi,TZ,-8.9333,36.1333,85.77,33,56,3.42,broken clouds
147,San Cristobal,VE,7.7669,-72.225,77.18,72,82,1.05,broken clouds
148,Sola,VU,-13.8833,167.55,74.07,94,20,0.0,few clouds
149,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,20,0.0,few clouds
150,Nelson Bay,AU,-32.7167,152.15,70.09,96,100,11.99,light rain
151,Turukhansk,RU,65.8167,87.9833,-6.18,73,23,13.47,few clouds
152,Cayenne,GF,4.9333,-52.3333,82.44,83,40,10.36,moderate rain
153,Khoy,IR,38.5504,44.9535,46.49,59,0,0.81,clear sky
154,Lucapa,AO,-8.4192,20.7447,67.55,93,77,2.28,light rain
155,Ahipara,NZ,-35.1667,173.1667,56.68,90,11,7.05,few clouds
156,Castro,BR,-24.7911,-50.0119,78.69,55,52,10.2,light rain
157,Poum,NC,-20.2333,164.0167,75.69,81,66,6.4,broken clouds
158,Victoria,HK,22.2855,114.1577,75.38,82,8,10.0,clear sky
159,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,74,0,8.05,clear sky
160,Khatanga,RU,71.9667,102.5,-25.01,99,100,6.89,overcast clouds
161,Nyurba,RU,63.2842,118.3319,-26.3,99,19,3.94,few clouds
162,Port Alfred,ZA,-33.5906,26.891,62.19,76,3,5.01,clear sky
163,Evensk,RU,61.95,159.2333,10.98,86,93,3.89,overcast clouds
164,Lodja,CD,-3.4833,23.4333,70.7,98,83,2.51,broken clouds
165,Nome,US,64.5011,-165.4064,23.07,58,0,13.8,clear sky
166,Severo-Kurilsk,RU,50.6789,156.125,31.5,76,100,13.82,light snow
167,Devonport,AU,-41.1667,146.35,58.01,98,100,5.17,moderate rain
168,Mehran,IR,33.1222,46.1646,70.65,31,0,8.37,clear sky
169,Oistins,BB,13.0667,-59.5333,86.09,70,40,18.41,scattered clouds
170,Yerbogachen,RU,61.2767,108.0108,-10.46,88,99,7.34,overcast clouds
171,Butaritari,KI,3.0707,172.7902,79.47,74,100,12.93,overcast clouds
172,Chacabuco,AR,-34.6417,-60.4739,75.63,59,100,7.52,moderate rain
173,Saskylakh,RU,71.9167,114.0833,-6.99,96,100,10.47,overcast clouds
174,Ayia Anna,CY,34.9399,33.4843,67.33,64,0,8.05,clear sky
175,Geraldton,AU,-28.7667,114.6,57.61,77,34,12.66,scattered clouds
176,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,3.44,overcast clouds
