"City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed"
"64,Kathmandu,NP,2021-04-18 00:11:10,27.7167,85.3167,53.6,87,20,2.3"
"65,Puerto Ayora,EC,2021-04-18 00:12:36,-0.7393,-90.3518,77.0,94,92,3.0"
"66,Gunjur,GM,2021-04-18 00:14:52,13.2019,-16.7339,71.6,78,0,10.36"
"67,Miles City,US,2021-04-18 00:14:53,46.4083,-105.8406,57.2,19,1,11.5"
"68,Komsomolskiy,UZ,2021-04-18 00:14:53,40.4272,71.7189,55.4,58,99,2.98"
"69,Kavieng,PG,2021-04-18 00:13:18,-2.5744,150.7967,82.92,76,71,10.87"
"70,Leh,IN,2021-04-18 00:14:53,34.1667,77.5833,34.21,83,96,6.11"
"71,Lons-Le-Saunier,FR,2021-04-18 00:14:53,46.75,5.75,42.8,61,0,6.91"
"72,Saint-Philippe,RE,2021-04-18 00:11:11,-21.3585,55.7679,75.2,94,90,8.05"
"73,Atuona,PF,2021-04-18 00:12:43,-9.8,-139.0333,80.64,74,50,19.3"
"74,Mandali,IQ,2021-04-18 00:14:54,33.7499,45.5541,73.72,28,0,10.25"
"75,Wagga Wagga,AU,2021-04-18 00:14:54,-35.1167,147.3667,57.99,62,0,1.14"
"76,Hanstholm,DK,2021-04-18 00:14:55,57.1167,8.6167,43.0,60,82,11.45"
"77,Yellowknife,CA,2021-04-18 00:12:48,62.456,-114.3525,35.6,64,75,10.36"
"78,Richards Bay,ZA,2021-04-18 00:14:55,-28.783,32.0377,59.9,77,1,8.52"
"79,Victoria,HK,2021-04-18 00:11:39,22.2855,114.1577,75.99,59,94,24.76"
"80,Sibolga,ID,2021-04-18 00:14:56,1.7427,98.7792,75.43,83,56,3.51"
"81,Big Bend,SZ,2021-04-18 00:14:56,-26.8167,31.9333,44.6,49,10,5.75"
"82,Urumqi,CN,2021-04-18 00:14:57,43.801,87.6005,57.2,41,0,6.71"
"83,Port Lincoln,AU,2021-04-18 00:14:36,-34.7333,135.8667,62.4,61,20,5.57"
"84,Hede,CN,2021-04-18 00:14:57,33.7681,120.2517,55.4,38,11,2.17"
"85,Kamenka,RU,2021-04-18 00:14:57,51.3223,42.7678,42.1,87,1,3.78"
"86,New Norfolk,AU,2021-04-18 00:12:32,-42.7826,147.0587,62.01,77,100,5.01"
"87,Bud,US,2021-04-18 00:13:28,39.447,-86.1758,55.99,41,1,10.36"
"88,Laguna,US,2021-04-18 00:14:58,38.421,-121.4238,87.8,7,1,14.97"
"89,Severo-Kurilsk,RU,2021-04-18 00:12:37,50.6789,156.125,38.12,62,100,7.4"
"90,Faanui,PF,2021-04-18 00:12:32,-16.4833,-151.75,82.35,73,79,8.72"
"91,Potsdam,DE,2021-04-18 00:13:28,52.3989,13.0657,45.0,84,69,4.16"
"92,Bethel,US,2021-04-18 00:14:16,41.3712,-73.414,48.0,65,96,2.95"
"93,Upernavik,GL,2021-04-18 00:10:11,72.7868,-56.1549,5.7,88,100,6.73"
"94,Simplicio Mendes,BR,2021-04-18 00:14:59,-7.8539,-41.9103,71.69,92,100,3.36"
"95,Najran,SA,2021-04-18 00:14:59,17.4924,44.1277,69.8,32,40,4.27"
"96,Longyearbyen,SJ,2021-04-18 00:13:39,78.2186,15.6401,32.0,69,75,3.44"
"97,Khatanga,RU,2021-04-18 00:11:13,71.9667,102.5,-0.87,95,100,12.62"
"98,Georgetown,MY,2021-04-18 00:12:38,5.4112,100.3354,80.01,89,20,5.75"
"99,Tuktoyaktuk,CA,2021-04-18 00:13:50,69.4541,-133.0374,24.8,86,75,6.91"
"100,Manacapuru,BR,2021-04-18 00:15:00,-3.2997,-60.6206,78.8,94,75,2.3"
"101,Ipameri,BR,2021-04-18 00:15:01,-17.7219,-48.1597,69.06,66,21,5.5"
"102,Basco,PH,2021-04-18 00:11:48,20.4487,121.9702,76.1,74,99,34.4"
"103,Nikolskoye,RU,2021-04-18 00:13:20,59.7035,30.7861,46.4,39,0,6.71"
"104,Port Hardy,CA,2021-04-18 00:13:05,50.6996,-127.4199,66.2,45,1,4.61"
"105,Jamestown,US,2021-04-18 00:09:10,42.097,-79.2353,42.8,70,75,10.36"
"106,Kintampo,GH,2021-04-18 00:15:02,8.0563,-1.7306,79.03,69,98,4.7"
"107,Talnakh,RU,2021-04-18 00:12:59,69.4865,88.3972,-20.58,93,65,1.61"
"108,Ola,RU,2021-04-18 00:15:02,59.5833,151.2833,28.74,84,91,5.61"
"109,Copiapo,CL,2021-04-18 00:15:02,-27.3667,-70.3333,59.0,82,90,8.05"
"110,Ingham,US,2021-04-18 00:15:03,42.6,-84.3833,55.4,50,90,2.62"
"111,Kovdor,RU,2021-04-18 00:15:03,67.5662,30.4758,28.65,96,17,1.83"
"112,Mar Del Plata,AR,2021-04-18 00:12:41,-38.0023,-57.5575,66.99,94,90,5.75"
"113,Cidreira,BR,2021-04-18 00:14:12,-30.1811,-50.2056,70.3,86,100,8.55"
"114,Namibe,AO,2021-04-18 00:15:04,-15.1961,12.1522,82.31,65,0,1.74"
"115,Dingle,PH,2021-04-18 00:13:55,10.9995,122.6711,81.27,68,100,11.92"
"116,Sarangani,PH,2021-04-18 00:15:04,5.4033,125.4636,83.32,75,93,23.49"
"117,Sao Filipe,CV,2021-04-18 00:15:05,14.8961,-24.4956,72.7,70,0,9.24"
"118,Dali,CN,2021-04-18 00:15:05,25.7,100.1833,54.45,78,47,3.02"
"119,Samarai,PG,2021-04-18 00:11:12,-10.6167,150.6667,84.04,74,79,13.11"
"120,Binucayan,PH,2021-04-18 00:15:06,8.25,125.7167,78.12,80,100,1.68"
"121,Nushki,PK,2021-04-18 00:15:06,29.5542,66.0215,68.72,23,21,2.35"
"122,Bredasdorp,ZA,2021-04-18 00:12:47,-34.5322,20.0403,48.2,93,0,6.91"
"123,Hailey,US,2021-04-18 00:15:07,43.5196,-114.3153,57.2,21,1,5.75"
"124,Nan,TH,2021-04-18 00:15:07,18.8333,100.6667,73.4,94,75,1.3"
"125,Davila,PH,2021-04-18 00:15:07,18.4726,120.5763,80.6,65,75,6.91"
"126,Nemuro,JP,2021-04-18 00:15:08,43.3236,145.575,41.0,100,75,12.66"
"127,San Antonio,US,2021-04-18 00:15:08,29.4241,-98.4936,68.0,42,90,16.11"
"128,Novovarshavka,RU,2021-04-18 00:12:31,54.1721,74.6946,35.92,73,70,7.29"
"129,Fortuna,US,2021-04-18 00:09:16,40.5982,-124.1573,55.0,82,1,11.5"
"130,Verkhnevilyuysk,RU,2021-04-18 00:15:09,63.4453,120.3167,13.62,86,100,12.41"
"131,Haines Junction,CA,2021-04-18 00:12:40,60.7522,-137.5108,55.4,24,12,6.91"
"132,Kahului,US,2021-04-18 00:14:24,20.8947,-156.47,78.8,65,40,11.5"
"133,Luderitz,NA,2021-04-18 00:12:57,-26.6481,15.1594,76.82,38,30,4.41"
"134,Thompson,CA,2021-04-18 00:12:50,55.7435,-97.8558,30.2,64,90,11.5"
"135,Mayo,US,2021-04-18 00:14:35,38.8876,-76.5119,55.4,50,1,4.36"
"136,Cape Town,ZA,2021-04-18 00:09:06,-33.9258,18.4232,69.01,88,0,4.61"
"137,Sola,VU,2021-04-18 00:15:09,-13.8833,167.55,89.6,70,75,4.61"
"138,Alofi,NU,2021-04-18 00:13:05,-19.0595,-169.9187,80.6,74,15,3.44"
"139,Ponta Do Sol,PT,2021-04-18 00:13:49,32.6667,-17.1,57.0,70,95,1.99"
"140,Nome,US,2021-04-18 00:09:44,64.5011,-165.4064,33.8,75,1,9.22"
"141,Kapaa,US,2021-04-18 00:13:06,22.0752,-159.319,75.2,60,90,13.8"
"142,Oga,IT,2021-04-18 00:15:10,46.4631,10.347,41.0,74,90,8.05"
"143,Vila Franca Do Campo,PT,2021-04-18 00:13:59,37.7167,-25.4333,62.6,94,75,6.91"
"144,Clyde River,CA,2021-04-18 00:15:08,70.4692,-68.5914,6.8,85,90,14.97"
"145,Boende,CD,2021-04-18 00:15:11,-0.2167,20.8667,71.96,98,92,2.53"
"146,Butaritari,KI,2021-04-18 00:13:10,3.0707,172.7902,82.42,76,98,6.73"
"147,Haapiti,PF,2021-04-18 00:15:11,-17.5667,-149.8667,87.8,66,20,12.66"
"148,Pisco,PE,2021-04-18 00:12:29,-13.7,-76.2167,66.99,88,0,18.41"
"149,Asau,RO,2021-04-18 00:15:12,46.4333,26.4,41.0,53,93,3.65"
"150,Bambous Virieux,MU,2021-04-18 00:14:23,-20.3428,57.7575,77.0,94,75,5.75"
"151,Saint George,US,2021-04-18 00:15:12,37.1041,-113.5841,66.0,19,1,18.41"
"152,Sal Rei,CV,2021-04-18 00:15:12,16.1833,-22.9167,69.8,78,75,17.27"
"153,Salani,IN,2021-04-18 00:15:13,29.957,79.7127,51.31,67,3,5.73"
"154,Shache,CN,2021-04-18 00:14:25,38.4167,77.2406,57.33,40,97,4.72"
"155,Yarada,IN,2021-04-18 00:15:14,17.65,83.2667,80.6,94,20,3.44"
"156,Navrongo,GH,2021-04-18 00:15:14,10.8956,-1.0921,84.16,49,86,8.05"
"157,Hauterive,FR,2021-04-18 00:15:14,46.0901,3.4459,42.8,61,0,4.61"
"158,Nanortalik,GL,2021-04-18 00:12:45,60.1432,-45.2371,25.2,56,1,27.67"
"159,Xinpu,CN,2021-04-18 00:10:18,34.5997,119.1594,54.37,35,47,3.02"
"160,Anadyr,RU,2021-04-18 00:14:39,64.75,177.4833,28.4,93,90,8.95"
"161,Pontarlier,FR,2021-04-18 00:15:15,46.8333,6.25,35.01,69,62,8.01"
"162,Leningradskiy,RU,2021-04-18 00:14:47,69.3833,178.4167,34.84,84,97,8.75"
"163,Mirabad,AF,2021-04-18 00:11:11,30.4362,61.8383,70.39,25,92,11.01"
"164,Boralday,KZ,2021-04-18 00:13:51,43.3578,76.8594,48.2,71,40,2.24"
"165,Mudgee,AU,2021-04-18 00:15:16,-32.5943,149.5871,50.0,100,90,3.44"
