"City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description"
"75,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.74,82,99,6.69,overcast clouds"
"76,Bethel,US,41.3712,-73.414,57.2,41,90,4.61,overcast clouds"
"77,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,11.5,light rain"
"78,Haines Junction,CA,60.7522,-137.5108,59.0,20,4,5.75,clear sky"
"79,Chama,CH,47.1821,8.4636,42.01,87,75,1.74,broken clouds"
"80,Dudinka,RU,69.4058,86.1778,-6.59,97,49,9.95,scattered clouds"
"81,Nikolskoye,RU,59.7035,30.7861,42.8,65,0,4.47,clear sky"
"82,Young,UY,-32.6833,-57.6333,70.0,79,62,1.99,broken clouds"
"83,Biograd Na Moru,HR,43.9433,15.4519,48.0,61,0,9.22,clear sky"
"84,Jucas,BR,-6.5253,-39.5275,72.97,92,100,1.43,overcast clouds"
"85,Ostrovnoy,RU,68.0531,39.5131,29.48,80,100,19.46,overcast clouds"
"86,Thompson,CA,55.7435,-97.8558,28.4,43,40,18.41,scattered clouds"
"87,Gap,FR,44.6667,6.0,37.99,75,38,5.01,scattered clouds"
"88,Ahipara,NZ,-35.1667,173.1667,65.84,52,82,4.97,broken clouds"
"89,Ancud,CL,-41.8697,-73.8203,55.4,100,90,11.5,light rain"
"90,Charleville-Mezieres,FR,49.7667,4.7167,46.0,82,99,5.99,overcast clouds"
"91,Luderitz,NA,-26.6481,15.1594,73.6,46,9,4.5,clear sky"
"92,Cayenne,GF,4.9333,-52.3333,80.01,94,20,8.34,few clouds"
"93,Along,IN,28.1667,94.7667,63.93,95,100,1.05,overcast clouds"
"94,Polis,CY,35.0367,32.4264,64.4,59,100,2.3,overcast clouds"
"95,Saskylakh,RU,71.9167,114.0833,4.44,90,94,9.37,overcast clouds"
"96,Birao,CF,10.2849,22.7882,78.31,14,100,4.92,overcast clouds"
"97,Arman,RU,59.7,150.1667,35.67,91,100,1.72,overcast clouds"
"98,Muros,ES,42.7762,-9.0603,55.0,88,100,2.57,overcast clouds"
"99,Sorland,NO,67.667,12.6934,43.83,78,0,23.29,clear sky"
"100,Ombessa,CM,4.603,11.2565,68.56,96,100,6.4,heavy intensity rain"
"101,La Rioja,ES,42.25,-2.5,48.0,87,0,5.61,clear sky"
"102,Nome,US,64.5011,-165.4064,42.8,52,75,8.05,broken clouds"
"103,Te Anau,NZ,-45.4167,167.7167,55.8,76,90,7.85,overcast clouds"
"104,Conselheiro Pena,BR,-19.1722,-41.4722,72.37,78,35,3.51,scattered clouds"
"105,Nabire,ID,-3.3667,135.4833,78.8,85,98,2.06,overcast clouds"
"106,Lucapa,AO,-8.4192,20.7447,66.04,93,100,2.89,overcast clouds"
"107,Derzhavinsk,KZ,51.1,66.3167,29.23,61,8,20.51,clear sky"
"108,Hilo,US,19.7297,-155.09,80.6,57,75,11.5,broken clouds"
"109,Avarua,CK,-21.2078,-159.775,84.2,74,40,17.27,light rain"
"110,Cockburn Town,TC,21.4612,-71.1419,78.8,83,20,9.22,few clouds"
"111,Les Escoumins,CA,48.1111,-69.0236,39.2,81,100,4.61,overcast clouds"
"112,Kavaratti,IN,10.5669,72.642,83.37,72,14,6.69,few clouds"
"113,Lae,PG,-6.7221,146.9847,82.4,74,40,9.22,scattered clouds"
"114,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.59,85,10,2.62,clear sky"
"115,Georgetown,MY,5.4112,100.3354,84.2,89,20,2.3,few clouds"
"116,Tibu,CO,8.639,-72.7358,74.89,96,100,3.22,overcast clouds"
"117,Mount Gambier,AU,-37.8333,140.7667,57.2,100,90,9.22,overcast clouds"
"118,Port Blair,IN,11.6667,92.75,82.62,72,16,5.97,few clouds"
"119,Tukums,LV,56.9669,23.1553,46.4,42,0,6.91,clear sky"
"120,Igrim,RU,63.1906,64.4162,8.83,90,20,2.64,few clouds"
"121,Norman Wells,CA,65.282,-126.8329,46.4,46,1,9.22,clear sky"
"122,Pemangkat,ID,1.1667,108.9667,80.24,81,99,6.38,overcast clouds"
"123,Lasa,IT,46.6166,10.7002,37.99,69,0,5.75,clear sky"
"124,Edd,ER,13.9297,41.6925,86.47,35,82,13.56,broken clouds"
"125,Santa Maria Do Suacui,BR,-18.1903,-42.4142,67.05,90,66,2.42,broken clouds"
"126,Khani,GE,41.9563,42.9566,59.0,94,90,4.61,light rain"
"127,Zeya,RU,53.75,127.2667,32.41,55,12,12.62,few clouds"
"128,Rock Sound,BS,24.9,-76.2,77.79,82,100,10.09,overcast clouds"
"129,Namatanai,PG,-3.6667,152.4333,86.9,64,95,4.27,overcast clouds"
"130,Sitka,US,57.0531,-135.33,66.2,26,1,11.5,clear sky"
